Uke,2019,2020,2021,2022
1,26941,22333,37598,49204
2,35623,38737,29510,46193
3,32510,32654,28899,53241
4,33521,32715,28426,53327
5,34977,33711,28050,53629
6,36195,33469,27258,55788
7,35501,33182,27938,56110
8,31799,29974,25392,58359
9,31288,32848,28125,54150
10,31641,38383,30666,49387
11,30948,71421,29788,43392
12,29654,60970,25568,40711
13,28712,25936,9405,39160
14,29188,20181,26972,43400
15,25625,7652,26774,45670
16,8653,18628,25743,47000
17,26817,19740,25373,*
18,23747,19804,26520,*
19,28143,22475,18962,*
20,22862,21857,23690,*
21,29456,16881,23522,*
22,21641,20805,26901,*
23,27505,18921,25027,*
24,23594,21898,25244,*
25,26330,21331,23295,*
26,22769,19447,22671,*
27,20186,18221,19218,*
28,16948,16236,16927,*
29,15964,14946,16823,*
30,16590,15430,18465,*
31,19203,17518,22952,*
32,22485,22475,26550,*
33,23925,26481,29462,*
34,27320,29069,31539,*
35,28495,29129,34606,*
36,29126,31314,33939,*
37,29617,30898,33019,*
38,30299,30301,33867,*
39,29506,29215,34170,*
40,28154,27327,31765,*
41,28609,27590,33271,*
42,30720,29605,37501,*
43,29498,29209,37256,*
44,29750,30273,39977,*
45,30300,33162,41329,*
46,31590,31495,41250,*
47,31502,29879,41258,*
48,32090,28041,44314,*
49,33580,29201,45585,*
50,33136,29058,41483,*
51,28241,26118,22119,*
52,7932,11481,19635,*
53,*,11950,*,*
