"næring (SN2007)","kvartal","statistikkvariabel","11587: Ledige stillingar,"
"01-96 Alle næringar","2010K1","Ledige stillingar, sesongjustert",58000
"01-96 Alle næringar","2010K2","Ledige stillingar, sesongjustert",61500
"01-96 Alle næringar","2010K3","Ledige stillingar, sesongjustert",65700
"01-96 Alle næringar","2010K4","Ledige stillingar, sesongjustert",63200
"01-96 Alle næringar","2011K1","Ledige stillingar, sesongjustert",65800
"01-96 Alle næringar","2011K2","Ledige stillingar, sesongjustert",71600
"01-96 Alle næringar","2011K3","Ledige stillingar, sesongjustert",70100
"01-96 Alle næringar","2011K4","Ledige stillingar, sesongjustert",70100
"01-96 Alle næringar","2012K1","Ledige stillingar, sesongjustert",66200
"01-96 Alle næringar","2012K2","Ledige stillingar, sesongjustert",65100
"01-96 Alle næringar","2012K3","Ledige stillingar, sesongjustert",63500
"01-96 Alle næringar","2012K4","Ledige stillingar, sesongjustert",65600
"01-96 Alle næringar","2013K1","Ledige stillingar, sesongjustert",64500
"01-96 Alle næringar","2013K2","Ledige stillingar, sesongjustert",67700
"01-96 Alle næringar","2013K3","Ledige stillingar, sesongjustert",61500
"01-96 Alle næringar","2013K4","Ledige stillingar, sesongjustert",57400
"01-96 Alle næringar","2014K1","Ledige stillingar, sesongjustert",58900
"01-96 Alle næringar","2014K2","Ledige stillingar, sesongjustert",59100
"01-96 Alle næringar","2014K3","Ledige stillingar, sesongjustert",56900
"01-96 Alle næringar","2014K4","Ledige stillingar, sesongjustert",59800
"01-96 Alle næringar","2015K1","Ledige stillingar, sesongjustert",57600
"01-96 Alle næringar","2015K2","Ledige stillingar, sesongjustert",56600
"01-96 Alle næringar","2015K3","Ledige stillingar, sesongjustert",52100
"01-96 Alle næringar","2015K4","Ledige stillingar, sesongjustert",50300
"01-96 Alle næringar","2016K1","Ledige stillingar, sesongjustert",53000
"01-96 Alle næringar","2016K2","Ledige stillingar, sesongjustert",51100
"01-96 Alle næringar","2016K3","Ledige stillingar, sesongjustert",54900
"01-96 Alle næringar","2016K4","Ledige stillingar, sesongjustert",54200
"01-96 Alle næringar","2017K1","Ledige stillingar, sesongjustert",56000
"01-96 Alle næringar","2017K2","Ledige stillingar, sesongjustert",59000
"01-96 Alle næringar","2017K3","Ledige stillingar, sesongjustert",59800
"01-96 Alle næringar","2017K4","Ledige stillingar, sesongjustert",64000
"01-96 Alle næringar","2018K1","Ledige stillingar, sesongjustert",66000
"01-96 Alle næringar","2018K2","Ledige stillingar, sesongjustert",68400
"01-96 Alle næringar","2018K3","Ledige stillingar, sesongjustert",71800
"01-96 Alle næringar","2018K4","Ledige stillingar, sesongjustert",65400
"01-96 Alle næringar","2019K1","Ledige stillingar, sesongjustert",73100
"01-96 Alle næringar","2019K2","Ledige stillingar, sesongjustert",76700
"01-96 Alle næringar","2019K3","Ledige stillingar, sesongjustert",69300
"01-96 Alle næringar","2019K4","Ledige stillingar, sesongjustert",70500
"01-96 Alle næringar","2020K1","Ledige stillingar, sesongjustert",69300
"01-96 Alle næringar","2020K2","Ledige stillingar, sesongjustert",54300
"01-96 Alle næringar","2020K3","Ledige stillingar, sesongjustert",62700
"01-96 Alle næringar","2020K4","Ledige stillingar, sesongjustert",65300
"01-96 Alle næringar","2021K1","Ledige stillingar, sesongjustert",72200
"01-96 Alle næringar","2021K2","Ledige stillingar, sesongjustert",93600
"01-96 Alle næringar","2021K3","Ledige stillingar, sesongjustert",96300
"01-96 Alle næringar","2021K4","Ledige stillingar, sesongjustert",95600
